gss_code,leisure_density,wardname,leisurecount,fastfood_density,fastfoodcount,alcohol_density,alcoholcount,beverages_density,beveragescount,confectionery_density,confectionerycount,convenience_density,conveniencecount,departmentstore_density,departmentstorecount,farm_density,farmcount,greengrocer_density,greengrocercount,grocery_density,grocerycount,mall_density,mallcount,supermarket_density,supermarketcount,health_density,health_rate_parcent
E05000117,4.48E-07,Darwin,13,3.44E-08,1,3.44E-08,1,3.44E-08,1,3.44E-08,1,3.44E-08,1,3.44E-08,1,3.44E-08,1,3.44E-08,1,3.44E-08,1,3.44E-08,1,3.44E-08,1,2.07E-07,7.2
E05000118,1.43E-07,Farnborough and Crofton,1,2.85E-07,2,1.43E-07,1,1.43E-07,1,1.43E-07,1,1.43E-07,1,1.43E-07,1,1.43E-07,1,1.43E-07,1,1.43E-07,1,1.43E-07,1,2.85E-07,2,9.99E-07,8.166666667
E05000119,6.47E-07,Hayes and Coney Hall,7,3.70E-07,4,9.24E-08,1,9.24E-08,1,9.24E-08,1,1.85E-07,2,9.24E-08,1,9.24E-08,1,9.24E-08,1,9.24E-08,1,9.24E-08,1,9.24E-08,1,5.54E-07,6.666666667
E05000120,1.54E-06,Kelsey and Eden Park,8,7.69E-07,4,1.92E-07,1,1.92E-07,1,1.92E-07,1,7.69E-07,4,1.92E-07,1,1.92E-07,1,1.92E-07,1,1.92E-07,1,1.92E-07,1,1.92E-07,1,1.15E-06,6.545454545
E05000121,8.19E-07,Mottingham and Chislehurst North,2,4.10E-07,1,4.10E-07,1,4.10E-07,1,4.10E-07,1,4.10E-07,1,4.10E-07,1,4.10E-07,1,4.10E-07,1,4.10E-07,1,4.10E-07,1,4.10E-07,1,2.46E-06,7.2
E05000122,1.41E-06,Orpington,6,1.88E-06,8,2.35E-07,1,2.35E-07,1,2.35E-07,1,1.64E-06,7,2.35E-07,1,2.35E-07,1,2.35E-07,1,2.35E-07,1,2.35E-07,1,2.35E-07,1,1.41E-06,6.333333333
E05000123,3.04E-06,Penge and Cator,9,6.08E-06,18,3.38E-07,1,3.38E-07,1,3.38E-07,1,3.04E-06,9,3.38E-07,1,3.38E-07,1,3.38E-07,1,3.38E-07,1,3.38E-07,1,1.01E-06,3,2.70E-06,8.266666667
E05000124,2.32E-07,Petts Wood and Knoll,1,2.32E-07,1,2.32E-07,1,2.32E-07,1,2.32E-07,1,2.32E-07,1,2.32E-07,1,2.32E-07,1,2.32E-07,1,2.32E-07,1,2.32E-07,1,2.32E-07,1,1.39E-06,7.2
E05000125,7.50E-07,Plaistow and Sundridge,3,2.50E-07,1,2.50E-07,1,2.50E-07,1,2.50E-07,1,2.50E-07,1,2.50E-07,1,2.50E-07,1,2.50E-07,1,2.50E-07,1,2.50E-07,1,5.00E-07,2,1.75E-06,8.4
E05000126,4.07E-07,Shortlands,1,4.07E-07,1,4.07E-07,1,4.07E-07,1,4.07E-07,1,4.07E-07,1,4.07E-07,1,4.07E-07,1,4.07E-07,1,4.07E-07,1,4.07E-07,1,4.07E-07,1,2.44E-06,7.2
E05000127,2.04E-06,West Wickham,9,2.27E-07,1,2.27E-07,1,2.27E-07,1,2.27E-07,1,2.27E-07,1,2.27E-07,1,2.27E-07,1,2.27E-07,1,2.27E-07,1,2.27E-07,1,2.27E-07,1,1.36E-06,7.2
E05000128,3.84E-06,Belsize,3,2.56E-06,2,1.28E-06,1,1.28E-06,1,1.28E-06,1,2.56E-06,2,1.28E-06,1,1.28E-06,1,1.28E-06,1,1.28E-06,1,1.28E-06,1,3.84E-06,3,1.02E-05,9.142857143
E05000129,3.53E-05,Bloomsbury,36,1.76E-05,18,1.96E-06,2,9.80E-07,1,9.80E-07,1,1.47E-05,15,9.80E-07,1,9.80E-07,1,9.80E-07,1,9.80E-07,1,9.80E-07,1,5.88E-06,6,1.08E-05,11.2972973
E05000130,1.11E-05,Camden Town with Primrose Hill,13,1.54E-05,18,8.58E-07,1,8.58E-07,1,8.58E-07,1,6.00E-06,7,8.58E-07,1,8.58E-07,1,8.58E-07,1,8.58E-07,1,8.58E-07,1,4.29E-06,5,8.58E-06,10.35714286
E05000131,1.05E-05,Cantelowes,8,2.63E-06,2,1.32E-06,1,1.32E-06,1,1.32E-06,1,3.95E-06,3,1.32E-06,1,1.32E-06,1,1.32E-06,1,1.32E-06,1,1.32E-06,1,2.63E-06,2,9.22E-06,7.875
E05000132,4.97E-06,Fortune Green,5,9.94E-07,1,9.94E-07,1,9.94E-07,1,9.94E-07,1,6.95E-06,7,9.94E-07,1,9.94E-07,1,9.94E-07,1,9.94E-07,1,9.94E-07,1,9.94E-07,1,5.96E-06,6.545454545
E05000133,6.54E-07,Frognal and Fitzjohns,1,1.31E-06,2,6.54E-07,1,6.54E-07,1,6.54E-07,1,1.31E-06,2,6.54E-07,1,6.54E-07,1,6.54E-07,1,6.54E-07,1,6.54E-07,1,6.54E-07,1,3.92E-06,6.857142857
E05000134,4.33E-06,Gospel Oak,3,4.33E-06,3,1.44E-06,1,1.44E-06,1,1.44E-06,1,8.67E-06,6,1.44E-06,1,1.44E-06,1,1.44E-06,1,1.44E-06,1,1.44E-06,1,1.44E-06,1,8.67E-06,6.5
E05000135,3.27E-06,Hampstead Town,8,2.04E-06,5,4.08E-07,1,4.08E-07,1,4.08E-07,1,4.08E-07,1,4.08E-07,1,4.08E-07,1,8.17E-07,2,4.08E-07,1,4.08E-07,1,4.08E-07,1,2.86E-06,7.777777778
E05000136,9.57E-06,Haverstock,7,1.37E-06,1,1.37E-06,1,1.37E-06,1,1.37E-06,1,5.47E-06,4,1.37E-06,1,1.37E-06,1,1.37E-06,1,1.37E-06,1,1.37E-06,1,1.37E-06,1,8.20E-06,6.75
E05000137,1.30E-05,Highgate,42,2.16E-06,7,6.17E-07,2,6.17E-07,2,6.17E-07,2,2.47E-06,8,6.17E-07,2,6.17E-07,2,6.17E-07,2,6.17E-07,2,6.17E-07,2,6.17E-07,2,3.70E-06,12.57142857
E05000138,4.10E-05,Holborn and Covent Garden,49,3.18E-05,38,8.37E-07,1,8.37E-07,1,8.37E-07,1,1.34E-05,16,8.37E-07,1,8.37E-07,1,8.37E-07,1,8.37E-07,1,8.37E-07,1,4.18E-06,5,8.37E-06,10.1754386
E05000139,5.83E-06,Kentish Town,6,1.26E-05,13,9.72E-07,1,9.72E-07,1,9.72E-07,1,2.04E-05,21,9.72E-07,1,9.72E-07,1,9.72E-07,1,9.72E-07,1,9.72E-07,1,2.92E-06,3,7.77E-06,8.216216216
E05000140,4.38E-05,Kilburn,30,5.84E-06,4,4.38E-06,3,2.92E-06,2,2.92E-06,2,2.92E-06,2,2.92E-06,2,2.92E-06,2,2.92E-06,2,2.92E-06,2,2.92E-06,2,2.92E-06,2,1.75E-05,12.92307692
E05000141,4.74E-05,King's Cross,29,1.80E-05,11,1.64E-06,1,1.64E-06,1,1.64E-06,1,1.47E-05,9,1.64E-06,1,1.64E-06,1,1.64E-06,1,1.64E-06,1,1.64E-06,1,1.64E-06,1,9.81E-06,6.260869565
E05000142,7.56E-05,Regent's Park,102,1.33E-05,18,1.48E-06,2,1.48E-06,2,2.96E-06,4,1.41E-05,19,1.48E-06,2,1.48E-06,2,1.48E-06,2,1.48E-06,2,1.48E-06,2,2.96E-06,4,1.04E-05,14.31111111
E05000143,1.43E-06,St. Pancras and Somers Town,2,7.86E-06,11,7.15E-07,1,7.15E-07,1,1.43E-06,2,9.29E-06,13,7.15E-07,1,7.15E-07,1,7.15E-07,1,7.15E-07,1,7.15E-07,1,1.43E-06,2,5.00E-06,7.25
E05000144,7.16E-06,Swiss Cottage,9,1.59E-06,2,7.96E-07,1,7.96E-07,1,7.96E-07,1,2.39E-06,3,7.96E-07,1,7.96E-07,1,7.96E-07,1,7.96E-07,1,7.96E-07,1,1.59E-06,2,5.57E-06,7.875
E05000145,3.38E-06,West Hampstead,3,6.76E-06,6,1.13E-06,1,1.13E-06,1,1.13E-06,1,3.38E-06,3,1.13E-06,1,1.13E-06,1,1.13E-06,1,1.13E-06,1,1.13E-06,1,4.51E-06,4,1.01E-05,9.75
E05000146,6.30E-07,Addiscombe,1,6.30E-06,10,6.30E-07,1,6.30E-07,1,6.30E-07,1,3.78E-06,6,6.30E-07,1,6.30E-07,1,6.30E-07,1,6.30E-07,1,6.30E-07,1,1.26E-06,2,4.41E-06,7.368421053
E05000147,2.95E-06,Ashburton,8,5.53E-06,15,1.48E-06,4,3.69E-07,1,3.69E-07,1,1.11E-06,3,3.69E-07,1,3.69E-07,1,3.69E-07,1,3.69E-07,1,3.69E-07,1,7.38E-07,2,2.58E-06,7.291666667
E05000148,4.16E-06,Bensham Manor,6,6.94E-07,1,6.94E-07,1,6.94E-07,1,6.94E-07,1,2.77E-06,4,6.94E-07,1,6.94E-07,1,6.94E-07,1,6.94E-07,1,6.94E-07,1,6.94E-07,1,4.16E-06,6.75
E05000149,4.13E-06,Broad Green,11,1.50E-06,4,3.76E-07,1,3.76E-07,1,3.76E-07,1,3.76E-07,1,7.51E-07,2,3.76E-07,1,3.76E-07,1,3.76E-07,1,1.50E-06,4,3.76E-07,1,3.76E-06,11.25
E05000150,3.23E-06,Coulsdon East,25,6.46E-07,5,1.29E-07,1,1.29E-07,1,1.29E-07,1,3.87E-07,3,1.29E-07,1,1.29E-07,1,1.29E-07,1,1.29E-07,1,1.29E-07,1,1.29E-07,1,7.75E-07,6.545454545
E05000151,2.00E-07,Coulsdon West,1,1.20E-06,6,2.00E-07,1,2.00E-07,1,2.00E-07,1,6.01E-07,3,2.00E-07,1,2.00E-07,1,2.00E-07,1,2.00E-07,1,2.00E-07,1,4.01E-07,2,1.40E-06,7.583333333
E05000152,3.40E-06,Croham,12,2.27E-06,8,2.84E-07,1,2.84E-07,1,2.84E-07,1,3.40E-06,12,2.84E-07,1,2.84E-07,1,2.84E-07,1,2.84E-07,1,2.84E-07,1,2.84E-07,1,1.70E-06,6.260869565
E05000153,1.11E-05,Fairfield,42,1.25E-05,47,5.30E-07,2,5.30E-07,2,5.30E-07,2,5.30E-06,20,5.30E-07,2,5.30E-07,2,5.30E-07,2,5.30E-07,2,1.06E-06,4,1.06E-06,4,4.24E-06,16.21917808
E05000154,5.38E-06,Fieldway,8,6.73E-07,1,6.73E-07,1,6.73E-07,1,6.73E-07,1,6.73E-07,1,6.73E-07,1,6.73E-07,1,6.73E-07,1,6.73E-07,1,6.73E-07,1,6.73E-07,1,4.04E-06,7.2
E05000155,1.95E-06,Heathfield,17,5.74E-07,5,3.44E-07,3,2.30E-07,2,2.30E-07,2,4.59E-07,4,2.30E-07,2,2.30E-07,2,2.30E-07,2,2.30E-07,2,2.30E-07,2,2.30E-07,2,1.38E-06,12.75
E05000156,1.86E-06,Kenley,12,1.08E-06,7,3.10E-07,2,1.55E-07,1,1.55E-07,1,1.55E-07,1,1.55E-07,1,1.55E-07,1,1.55E-07,1,1.55E-07,1,1.55E-07,1,1.55E-07,1,9.29E-07,6.5
E05000157,8.27E-07,New Addington,2,3.31E-06,8,4.14E-07,1,4.14E-07,1,4.14E-07,1,1.24E-06,3,4.14E-07,1,4.14E-07,1,4.14E-07,1,4.14E-07,1,4.14E-07,1,1.24E-06,3,3.31E-06,8.571428571
E05000158,5.56E-06,Norbury,14,7.94E-07,2,3.97E-07,1,3.97E-07,1,3.97E-07,1,3.97E-07,1,3.97E-07,1,3.97E-07,1,3.97E-07,1,3.97E-07,1,3.97E-07,1,7.94E-07,2,2.78E-06,8.166666667
E05000159,9.58E-07,Purley,4,3.59E-06,15,2.40E-07,1,2.40E-07,1,2.40E-07,1,9.58E-07,4,2.40E-07,1,2.40E-07,1,2.40E-07,1,2.40E-07,1,2.40E-07,1,2.40E-07,1,1.44E-06,6.272727273
E05000160,2.21E-06,Sanderstead,14,6.30E-07,4,1.58E-07,1,1.58E-07,1,1.58E-07,1,4.73E-07,3,1.58E-07,1,1.58E-07,1,1.58E-07,1,1.58E-07,1,1.58E-07,1,1.58E-07,1,9.45E-07,6.6
E05000161,4.84E-06,Selhurst,11,4.40E-07,1,4.40E-07,1,4.40E-07,1,4.40E-07,1,3.08E-06,7,4.40E-07,1,4.40E-07,1,4.40E-07,1,4.40E-07,1,4.40E-07,1,4.40E-07,1,2.64E-06,6.545454545
E05000162,2.34E-06,Selsdon and Ballards,15,1.56E-07,1,1.56E-07,1,1.56E-07,1,1.56E-07,1,1.56E-07,1,1.56E-07,1,1.56E-07,1,1.56E-07,1,1.56E-07,1,1.56E-07,1,1.56E-07,1,9.38E-07,7.2
E05000163,1.43E-06,Shirley,4,1.78E-06,5,3.56E-07,1,3.56E-07,1,3.56E-07,1,2.14E-06,6,3.56E-07,1,3.56E-07,1,3.56E-07,1,3.56E-07,1,3.56E-07,1,7.13E-07,2,2.50E-06,7.5
E05000164,4.63E-06,South Norwood,11,4.20E-07,1,4.20E-07,1,4.20E-07,1,4.20E-07,1,4.20E-07,1,4.20E-07,1,4.20E-07,1,4.20E-07,1,4.20E-07,1,4.20E-07,1,4.20E-07,1,2.52E-06,7.2
E05000165,7.14E-06,Thornton Heath,12,3.57E-06,6,5.95E-07,1,5.95E-07,1,5.95E-07,1,4.16E-06,7,5.95E-07,1,5.95E-07,1,1.78E-06,3,5.95E-07,1,5.95E-07,1,5.95E-07,1,4.76E-06,8.5
E05000166,2.67E-06,Upper Norwood,7,3.05E-06,8,3.81E-07,1,3.81E-07,1,3.81E-07,1,3.81E-06,10,3.81E-07,1,3.81E-07,1,7.62E-07,2,3.81E-07,1,3.81E-07,1,7.62E-07,2,3.05E-06,8.380952381
E05000167,3.29E-06,Waddon,12,2.47E-06,9,2.74E-07,1,2.74E-07,1,2.74E-07,1,1.10E-06,4,2.74E-07,1,2.74E-07,1,2.74E-07,1,2.74E-07,1,2.74E-07,1,2.74E-07,1,1.64E-06,6.375
E05000168,5.07E-07,West Thornton,1,1.01E-06,2,5.07E-07,1,5.07E-07,1,5.07E-07,1,2.03E-06,4,5.07E-07,1,5.07E-07,1,5.07E-07,1,5.07E-07,1,5.07E-07,1,5.07E-07,1,3.04E-06,6.666666667
E05000169,9.69E-06,Woodside,21,1.85E-06,4,9.23E-07,2,9.23E-07,2,9.23E-07,2,2.77E-06,6,9.23E-07,2,9.23E-07,2,9.23E-07,2,9.23E-07,2,9.23E-07,2,1.38E-06,3,6.00E-06,13.8125
E05000170,4.51E-06,Acton Central,8,5.64E-07,1,5.64E-07,1,5.64E-07,1,5.64E-07,1,2.25E-06,4,5.64E-07,1,5.64E-07,1,5.64E-07,1,5.64E-07,1,5.64E-07,1,2.25E-06,4,5.07E-06,10.125
E05000171,8.97E-07,Cleveland,2,4.49E-07,1,4.49E-07,1,4.49E-07,1,4.49E-07,1,1.79E-06,4,4.49E-07,1,4.49E-07,1,4.49E-07,1,4.49E-07,1,4.49E-07,1,4.49E-07,1,2.69E-06,6.75
E05000172,4.43E-07,Dormers Wells,1,4.43E-07,1,4.43E-07,1,4.43E-07,1,4.43E-07,1,1.33E-06,3,4.43E-07,1,4.43E-07,1,4.43E-07,1,4.43E-07,1,4.43E-07,1,4.43E-07,1,2.66E-06,6.857142857
E05000173,3.77E-06,Ealing Broadway,7,6.46E-06,12,1.62E-06,3,5.39E-07,1,5.39E-07,1,4.31E-06,8,5.39E-07,1,5.39E-07,1,5.39E-07,1,5.39E-07,1,5.39E-07,1,4.85E-06,9,7.54E-06,14.56
E05000174,4.67E-07,Ealing Common,1,4.67E-07,1,4.67E-07,1,4.67E-07,1,4.67E-07,1,1.40E-06,3,4.67E-07,1,4.67E-07,1,4.67E-07,1,4.67E-07,1,4.67E-07,1,9.34E-07,2,3.27E-06,8
E05000175,3.04E-06,East Acton,13,7.02E-07,3,2.34E-07,1,2.34E-07,1,2.34E-07,1,7.02E-07,3,2.34E-07,1,2.34E-07,1,2.34E-07,1,2.34E-07,1,2.34E-07,1,4.68E-07,2,1.64E-06,7.777777778
E05000176,2.00E-06,Elthorne,4,3.00E-06,6,5.00E-07,1,5.00E-07,1,5.00E-07,1,1.50E-06,3,5.00E-07,1,5.00E-07,1,5.00E-07,1,5.00E-07,1,5.00E-07,1,2.00E-06,4,4.50E-06,9.75
E05000177,7.95E-07,Greenford Broadway,2,3.97E-07,1,3.97E-07,1,3.97E-07,1,3.97E-07,1,7.95E-07,2,3.97E-07,1,3.97E-07,1,3.97E-07,1,3.97E-07,1,3.97E-07,1,3.97E-07,1,2.38E-06,7
E05000178,2.07E-06,Greenford Green,7,1.77E-06,6,2.95E-07,1,2.95E-07,1,2.95E-07,1,2.36E-06,8,2.95E-07,1,2.95E-07,1,5.91E-07,2,2.95E-07,1,2.95E-07,1,8.86E-07,3,2.66E-06,9.529411765
E05000179,2.75E-06,Hanger Hill,9,3.05E-07,1,3.05E-07,1,3.05E-07,1,3.05E-07,1,6.10E-07,2,3.05E-07,1,3.05E-07,1,3.05E-07,1,3.05E-07,1,3.05E-07,1,3.05E-07,1,1.83E-06,7
E05000180,1.36E-06,Hobbayne,3,4.53E-07,1,4.53E-07,1,4.53E-07,1,4.53E-07,1,1.36E-06,3,4.53E-07,1,4.53E-07,1,4.53E-07,1,4.53E-07,1,4.53E-07,1,4.53E-07,1,2.72E-06,6.857142857
E05000181,4.54E-06,Lady Margaret,7,6.49E-07,1,6.49E-07,1,6.49E-07,1,6.49E-07,1,6.49E-07,1,6.49E-07,1,6.49E-07,1,6.49E-07,1,6.49E-07,1,6.49E-07,1,6.49E-07,1,3.89E-06,7.2
E05000182,2.60E-06,Northfield,4,1.30E-06,2,6.49E-07,1,6.49E-07,1,6.49E-07,1,5.19E-06,8,6.49E-07,1,6.49E-07,1,1.30E-06,2,6.49E-07,1,6.49E-07,1,6.49E-07,1,4.55E-06,7.538461538
E05000183,3.07E-07,North Greenford,1,2.15E-06,7,3.07E-07,1,3.07E-07,1,3.07E-07,1,3.68E-06,12,3.07E-07,1,3.07E-07,1,3.07E-07,1,3.07E-07,1,3.07E-07,1,3.07E-07,1,1.84E-06,6.272727273
E05000184,1.81E-06,Northolt Mandeville,5,3.63E-07,1,3.63E-07,1,3.63E-07,1,3.63E-07,1,1.45E-06,4,3.63E-07,1,3.63E-07,1,3.63E-07,1,3.63E-07,1,3.63E-07,1,3.63E-07,1,2.18E-06,6.75
E05000185,1.13E-06,Northolt West End,4,5.64E-07,2,2.82E-07,1,2.82E-07,1,2.82E-07,1,1.69E-06,6,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,1.69E-06,6.545454545
E05000186,1.05E-06,Norwood Green,4,2.63E-07,1,2.63E-07,1,2.63E-07,1,2.63E-07,1,5.27E-07,2,2.63E-07,1,2.63E-07,1,2.63E-07,1,2.63E-07,1,2.63E-07,1,2.63E-07,1,1.58E-06,7
E05000187,1.19E-06,Perivale,4,2.97E-07,1,2.97E-07,1,2.97E-07,1,2.97E-07,1,2.97E-07,1,2.97E-07,1,2.97E-07,1,2.97E-07,1,2.97E-07,1,2.97E-07,1,2.97E-07,1,1.78E-06,7.2
E05000188,1.74E-06,South Acton,3,5.82E-07,1,5.82E-07,1,5.82E-07,1,5.82E-07,1,1.16E-06,2,5.82E-07,1,5.82E-07,1,5.82E-07,1,5.82E-07,1,5.82E-07,1,1.74E-06,3,4.65E-06,9.333333333
E05000189,2.47E-06,Southall Broadway,4,6.18E-07,1,6.18E-07,1,6.18E-07,1,6.18E-07,1,6.18E-07,1,6.18E-07,1,6.18E-07,1,6.18E-07,1,6.18E-07,1,6.18E-07,1,1.24E-06,2,4.33E-06,8.4
E05000190,6.30E-07,Southall Green,1,6.30E-07,1,6.30E-07,1,6.30E-07,1,6.30E-07,1,2.52E-06,4,6.30E-07,1,6.30E-07,1,6.30E-07,1,6.30E-07,1,6.30E-07,1,6.30E-07,1,3.78E-06,6.75
E05000191,7.00E-07,Southfield,1,7.00E-07,1,7.00E-07,1,7.00E-07,1,7.00E-07,1,2.10E-06,3,7.00E-07,1,7.00E-07,1,7.00E-07,1,7.00E-07,1,7.00E-07,1,7.00E-07,1,4.20E-06,6.857142857
E05000192,8.87E-06,Walpole,13,2.05E-06,3,6.82E-07,1,6.82E-07,1,6.82E-07,1,2.73E-06,4,6.82E-07,1,6.82E-07,1,6.82E-07,1,6.82E-07,1,6.82E-07,1,1.36E-06,2,4.78E-06,7.7
E05000193,2.70E-06,Bowes,4,3.37E-06,5,6.74E-07,1,6.74E-07,1,6.74E-07,1,4.72E-06,7,6.74E-07,1,6.74E-07,1,6.74E-07,1,6.74E-07,1,6.74E-07,1,6.74E-07,1,4.04E-06,6.4
E05000194,6.34E-06,Bush Hill Park,16,3.96E-07,1,3.96E-07,1,3.96E-07,1,3.96E-07,1,1.58E-06,4,3.96E-07,1,3.96E-07,1,3.96E-07,1,3.96E-07,1,3.96E-07,1,7.92E-07,2,2.77E-06,7.875
E05000195,8.86E-07,Chase,15,1.18E-07,2,5.90E-08,1,5.90E-08,1,5.90E-08,1,1.77E-07,3,5.90E-08,1,5.90E-08,1,5.90E-08,1,5.90E-08,1,5.90E-08,1,5.90E-08,1,3.54E-07,6.75
E05000196,7.68E-07,Cockfosters,8,9.60E-08,1,9.60E-08,1,9.60E-08,1,9.60E-08,1,3.84E-07,4,9.60E-08,1,9.60E-08,1,9.60E-08,1,9.60E-08,1,9.60E-08,1,9.60E-08,1,5.76E-07,6.75
E05000197,4.48E-06,Edmonton Green,14,6.40E-07,2,3.20E-07,1,3.20E-07,1,3.20E-07,1,9.60E-07,3,3.20E-07,1,3.20E-07,1,3.20E-07,1,3.20E-07,1,3.20E-07,1,6.40E-07,2,2.24E-06,7.875
E05000198,3.45E-06,Enfield Highway,16,1.73E-06,8,4.31E-07,2,2.16E-07,1,2.16E-07,1,1.73E-06,8,2.16E-07,1,2.16E-07,1,2.16E-07,1,2.16E-07,1,2.16E-07,1,1.51E-06,7,2.59E-06,12.6
E05000199,1.84E-06,Enfield Lock,6,3.07E-07,1,3.07E-07,1,3.07E-07,1,3.07E-07,1,1.23E-06,4,3.07E-07,1,3.07E-07,1,3.07E-07,1,3.07E-07,1,3.07E-07,1,3.07E-07,1,1.84E-06,6.75
E05000200,6.09E-06,Grange,20,4.57E-06,15,6.09E-07,2,6.09E-07,2,6.09E-07,2,4.26E-06,14,6.09E-07,2,6.09E-07,2,6.09E-07,2,6.09E-07,2,6.09E-07,2,1.83E-06,6,4.87E-06,16.45714286
E05000201,1.11E-06,Haselbury,2,5.57E-07,1,5.57E-07,1,5.57E-07,1,5.57E-07,1,5.57E-07,1,5.57E-07,1,5.57E-07,1,5.57E-07,1,5.57E-07,1,5.57E-07,1,5.57E-07,1,3.34E-06,7.2
E05000202,1.97E-07,Highlands,1,1.97E-07,1,1.97E-07,1,1.97E-07,1,1.97E-07,1,1.97E-07,1,1.97E-07,1,1.97E-07,1,1.97E-07,1,1.97E-07,1,1.97E-07,1,1.97E-07,1,1.18E-06,7.2
E05000203,4.07E-06,Jubilee,16,2.55E-07,1,5.09E-07,2,2.55E-07,1,2.55E-07,1,1.02E-06,4,2.55E-07,1,2.55E-07,1,2.55E-07,1,2.55E-07,1,2.55E-07,1,5.09E-07,2,1.78E-06,7.777777778
E05000204,1.83E-06,Lower Edmonton,4,4.58E-07,1,4.58E-07,1,4.58E-07,1,4.58E-07,1,4.58E-07,1,4.58E-07,1,4.58E-07,1,4.58E-07,1,4.58E-07,1,4.58E-07,1,4.58E-07,1,2.75E-06,7.2
E05000205,2.06E-06,Palmers Green,4,5.15E-07,1,5.15E-07,1,5.15E-07,1,5.15E-07,1,1.03E-06,2,5.15E-07,1,5.15E-07,1,5.15E-07,1,5.15E-07,1,5.15E-07,1,5.15E-07,1,3.09E-06,7
E05000206,1.69E-06,Ponders End,6,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,8.47E-07,3,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.26E-06,8,3.67E-06,14.85714286
E05000207,1.74E-06,Southbury,5,3.49E-07,1,6.98E-07,2,3.49E-07,1,3.49E-07,1,3.49E-07,1,3.49E-07,1,3.49E-07,1,3.49E-07,1,3.49E-07,1,3.49E-07,1,6.98E-07,2,2.44E-06,8.166666667
E05000208,1.12E-06,Southgate,3,3.35E-06,9,3.72E-07,1,3.72E-07,1,3.72E-07,1,3.72E-07,1,3.72E-07,1,3.72E-07,1,3.72E-07,1,3.72E-07,1,3.72E-07,1,7.44E-07,2,2.60E-06,7.538461538
E05000209,2.30E-06,Southgate Green,6,3.83E-07,1,3.83E-07,1,3.83E-07,1,3.83E-07,1,3.83E-07,1,3.83E-07,1,3.83E-07,1,3.83E-07,1,3.83E-07,1,3.83E-07,1,7.65E-07,2,2.68E-06,8.4
E05000210,8.96E-07,Town,2,2.69E-06,6,8.96E-07,2,8.96E-07,2,8.96E-07,2,4.48E-06,10,8.96E-07,2,8.96E-07,2,8.96E-07,2,8.96E-07,2,8.96E-07,2,1.79E-06,4,6.27E-06,14.63636364
E05000211,1.77E-06,Turkey Street,4,2.65E-06,6,4.42E-07,1,4.42E-07,1,4.42E-07,1,1.77E-06,4,4.42E-07,1,4.42E-07,1,4.42E-07,1,4.42E-07,1,4.42E-07,1,2.21E-06,5,4.42E-06,10.76923077
E05000212,1.14E-06,Upper Edmonton,3,1.89E-06,5,3.78E-07,1,3.78E-07,1,3.78E-07,1,1.51E-06,4,3.78E-07,1,3.78E-07,1,3.78E-07,1,3.78E-07,1,3.78E-07,1,7.57E-07,2,2.65E-06,7.583333333
E05000213,1.45E-06,Winchmore Hill,4,1.09E-06,3,3.62E-07,1,3.62E-07,1,3.62E-07,1,1.09E-06,3,3.62E-07,1,3.62E-07,1,3.62E-07,1,3.62E-07,1,3.62E-07,1,3.62E-07,1,2.17E-06,6.666666667
E05000214,7.53E-07,Abbey Wood,2,3.76E-07,1,3.76E-07,1,3.76E-07,1,3.76E-07,1,7.53E-07,2,3.76E-07,1,3.76E-07,1,3.76E-07,1,3.76E-07,1,3.76E-07,1,7.53E-07,2,2.63E-06,8.166666667
E05000215,9.35E-07,Blackheath Westcombe,2,4.68E-07,1,4.68E-07,1,4.68E-07,1,4.68E-07,1,4.68E-07,1,4.68E-07,1,4.68E-07,1,4.68E-07,1,4.68E-07,1,4.68E-07,1,4.68E-07,1,2.81E-06,7.2
E05000216,3.45E-06,Charlton,7,9.85E-07,2,4.92E-07,1,4.92E-07,1,4.92E-07,1,4.92E-07,1,4.92E-07,1,4.92E-07,1,4.92E-07,1,4.92E-07,1,4.92E-07,1,4.92E-07,1,2.95E-06,7
E05000217,3.92E-07,Coldharbour and New Eltham,1,3.92E-07,1,3.92E-07,1,3.92E-07,1,3.92E-07,1,1.18E-06,3,3.92E-07,1,3.92E-07,1,3.92E-07,1,3.92E-07,1,3.92E-07,1,3.92E-07,1,2.35E-06,6.857142857
E05000218,3.91E-07,Eltham North,1,5.09E-06,13,3.91E-07,1,3.91E-07,1,3.91E-07,1,3.13E-06,8,3.91E-07,1,3.91E-07,1,3.91E-07,1,3.91E-07,1,3.91E-07,1,7.83E-07,2,2.74E-06,7.291666667
E05000219,2.16E-06,Eltham South,10,4.32E-06,20,2.16E-07,1,2.16E-07,1,2.16E-07,1,2.38E-06,11,2.16E-07,1,2.16E-07,1,2.16E-07,1,2.16E-07,1,2.16E-07,1,2.16E-07,1,1.30E-06,6.176470588
E05000220,2.06E-06,Eltham West,5,4.12E-07,1,4.12E-07,1,4.12E-07,1,4.12E-07,1,4.12E-07,1,4.12E-07,1,4.12E-07,1,4.12E-07,1,4.12E-07,1,4.12E-07,1,4.12E-07,1,2.47E-06,7.2
