gss_code,leisure_density,wardname,leisurecount,fastfood_density,fastfoodcount,alcohol_density,alcoholcount,beverages_density,beveragescount,confectionery_density,confectionerycount,convenience_density,conveniencecount,departmentstore_density,departmentstorecount,farm_density,farmcount,greengrocer_density,greengrocercount,grocery_density,grocerycount,mall_density,mallcount,supermarket_density,supermarketcount,health_density,health_rate_parcent
E05000049,1.59E-06,East Finchley,4,1.20E-06,3,3.98E-07,1,3.98E-07,1,3.98E-07,1,7.97E-07,2,3.98E-07,1,3.98E-07,1,3.98E-07,1,3.98E-07,1,3.98E-07,1,1.20E-06,3,3.19E-06,9
E05000050,1.80E-06,Edgware,10,5.40E-07,3,3.60E-07,2,3.60E-07,2,3.60E-07,2,7.20E-07,4,3.60E-07,2,3.60E-07,2,3.60E-07,2,3.60E-07,2,3.60E-07,2,7.20E-07,4,2.52E-06,15.07692308
E05000051,7.34E-07,Finchley Church End,2,3.67E-07,1,3.67E-07,1,3.67E-07,1,3.67E-07,1,2.94E-06,8,3.67E-07,1,3.67E-07,1,3.67E-07,1,3.67E-07,1,3.67E-07,1,3.67E-07,1,2.20E-06,6.5
E05000052,4.23E-07,Garden Suburb,2,2.12E-07,1,2.12E-07,1,2.12E-07,1,2.12E-07,1,2.12E-07,1,2.12E-07,1,2.12E-07,1,2.12E-07,1,2.12E-07,1,2.12E-07,1,2.12E-07,1,1.27E-06,7.2
E05000053,3.36E-07,Golders Green,1,3.36E-07,1,3.36E-07,1,3.36E-07,1,3.36E-07,1,3.36E-07,1,3.36E-07,1,3.36E-07,1,3.36E-07,1,3.36E-07,1,3.36E-07,1,3.36E-07,1,2.02E-06,7.2
E05000054,5.53E-07,Hale,3,1.84E-07,1,1.84E-07,1,1.84E-07,1,1.84E-07,1,1.84E-07,1,1.84E-07,1,1.84E-07,1,1.84E-07,1,1.84E-07,1,1.84E-07,1,1.84E-07,1,1.11E-06,7.2
E05000055,3.52E-07,Hendon,1,3.88E-06,11,3.52E-07,1,3.52E-07,1,3.52E-07,1,1.41E-06,4,3.52E-07,1,3.52E-07,1,3.52E-07,1,3.52E-07,1,3.52E-07,1,3.52E-07,1,2.11E-06,6.333333333
E05000056,4.82E-07,High Barnet,4,4.82E-07,4,1.20E-07,1,1.20E-07,1,1.20E-07,1,2.41E-07,2,1.20E-07,1,1.20E-07,1,1.20E-07,1,1.20E-07,1,1.20E-07,1,3.61E-07,3,9.63E-07,8.888888889
E05000057,4.26E-07,Mill Hill,4,4.26E-07,4,1.07E-07,1,1.07E-07,1,1.07E-07,1,5.33E-07,5,1.07E-07,1,1.07E-07,1,1.07E-07,1,1.07E-07,1,1.07E-07,1,2.13E-07,2,7.46E-07,7.583333333
E05000058,3.01E-07,Oakleigh,1,6.03E-07,2,3.01E-07,1,3.01E-07,1,3.01E-07,1,3.01E-07,1,3.01E-07,1,3.01E-07,1,3.01E-07,1,3.01E-07,1,3.01E-07,1,3.01E-07,1,1.81E-06,7
E05000059,2.28E-07,Totteridge,2,1.14E-07,1,1.14E-07,1,1.14E-07,1,1.14E-07,1,1.14E-07,1,1.14E-07,1,1.14E-07,1,1.14E-07,1,1.14E-07,1,1.14E-07,1,1.14E-07,1,6.84E-07,7.2
E05000060,1.32E-06,Underhill,6,6.59E-07,3,2.20E-07,1,2.20E-07,1,2.20E-07,1,1.32E-06,6,2.20E-07,1,2.20E-07,1,2.20E-07,1,2.20E-07,1,2.20E-07,1,2.20E-07,1,1.32E-06,6.5
E05000061,5.08E-06,West Finchley,11,1.85E-06,4,4.62E-07,1,4.62E-07,1,4.62E-07,1,1.39E-06,3,4.62E-07,1,4.62E-07,1,4.62E-07,1,4.62E-07,1,4.62E-07,1,4.62E-07,1,2.77E-06,6.6
E05000062,5.83E-07,West Hendon,2,1.46E-06,5,2.92E-07,1,2.92E-07,1,2.92E-07,1,2.92E-07,1,8.75E-07,3,2.92E-07,1,2.92E-07,1,2.92E-07,1,5.83E-07,2,5.83E-07,2,2.92E-06,11.11111111
E05000063,7.63E-07,Woodhouse,2,3.82E-07,1,3.82E-07,1,3.82E-07,1,3.82E-07,1,3.82E-07,1,3.82E-07,1,3.82E-07,1,3.82E-07,1,3.82E-07,1,3.82E-07,1,3.82E-07,1,2.29E-06,7.2
E05000064,1.04E-06,Barnehurst,3,3.48E-07,1,3.48E-07,1,3.48E-07,1,3.48E-07,1,3.48E-07,1,3.48E-07,1,3.48E-07,1,3.48E-07,1,3.48E-07,1,3.48E-07,1,3.48E-07,1,2.09E-06,7.2
E05000065,3.15E-07,Belvedere,1,3.15E-07,1,3.15E-07,1,3.15E-07,1,3.15E-07,1,3.15E-07,1,3.15E-07,1,3.15E-07,1,3.15E-07,1,3.15E-07,1,3.15E-07,1,3.15E-07,1,1.89E-06,7.2
E05000066,1.19E-06,Blackfen and Lamorbey,2,5.93E-07,1,5.93E-07,1,5.93E-07,1,5.93E-07,1,5.93E-07,1,5.93E-07,1,5.93E-07,1,5.93E-07,1,5.93E-07,1,5.93E-07,1,5.93E-07,1,3.56E-06,7.2
E05000067,9.53E-07,Blendon and Penhill,2,9.53E-07,2,4.77E-07,1,4.77E-07,1,4.77E-07,1,9.53E-07,2,4.77E-07,1,4.77E-07,1,4.77E-07,1,4.77E-07,1,4.77E-07,1,4.77E-07,1,2.86E-06,6.857142857
E05000068,5.08E-07,Brampton,1,5.08E-07,1,5.08E-07,1,5.08E-07,1,5.08E-07,1,1.02E-06,2,5.08E-07,1,5.08E-07,1,5.08E-07,1,5.08E-07,1,5.08E-07,1,5.08E-07,1,3.05E-06,7
E05000069,1.57E-06,Christchurch,4,2.74E-06,7,3.92E-07,1,3.92E-07,1,3.92E-07,1,7.84E-07,2,3.92E-07,1,3.92E-07,1,3.92E-07,1,3.92E-07,1,3.92E-07,1,7.84E-07,2,2.74E-06,7.583333333
E05000070,6.08E-07,Colyers,1,6.08E-07,1,6.08E-07,1,6.08E-07,1,6.08E-07,1,1.22E-06,2,6.08E-07,1,6.08E-07,1,6.08E-07,1,6.08E-07,1,6.08E-07,1,6.08E-07,1,3.65E-06,7
E05000071,7.55E-07,Crayford,3,2.52E-07,1,2.52E-07,1,2.52E-07,1,2.52E-07,1,2.52E-07,1,2.52E-07,1,2.52E-07,1,2.52E-07,1,2.52E-07,1,2.52E-07,1,7.55E-07,3,2.01E-06,9.6
E05000072,2.36E-06,Cray Meadows,17,2.78E-07,2,1.39E-07,1,1.39E-07,1,1.39E-07,1,2.78E-07,2,1.39E-07,1,1.39E-07,1,1.39E-07,1,1.39E-07,1,1.39E-07,1,1.39E-07,1,8.34E-07,6.857142857
E05000073,5.16E-06,Danson Park,14,3.69E-07,1,3.69E-07,1,3.69E-07,1,3.69E-07,1,3.69E-07,1,3.69E-07,1,3.69E-07,1,3.69E-07,1,3.69E-07,1,3.69E-07,1,7.37E-07,2,2.58E-06,8.4
E05000074,4.60E-07,East Wickham,1,4.60E-07,1,4.60E-07,1,4.60E-07,1,4.60E-07,1,4.60E-07,1,4.60E-07,1,4.60E-07,1,4.60E-07,1,4.60E-07,1,4.60E-07,1,4.60E-07,1,2.76E-06,7.2
E05000075,4.21E-07,Erith,2,2.10E-07,1,2.10E-07,1,2.10E-07,1,2.10E-07,1,2.10E-07,1,2.10E-07,1,2.10E-07,1,2.10E-07,1,2.10E-07,1,2.10E-07,1,2.10E-07,1,1.26E-06,7.2
E05000076,5.99E-07,Falconwood and Welling,1,5.99E-07,1,5.99E-07,1,5.99E-07,1,5.99E-07,1,5.99E-07,1,5.99E-07,1,5.99E-07,1,5.99E-07,1,5.99E-07,1,5.99E-07,1,5.99E-07,1,3.59E-06,7.2
E05000077,2.53E-06,Lesnes Abbey,6,4.22E-07,1,4.22E-07,1,4.22E-07,1,4.22E-07,1,4.22E-07,1,4.22E-07,1,4.22E-07,1,4.22E-07,1,4.22E-07,1,4.22E-07,1,4.22E-07,1,2.53E-06,7.2
E05000078,1.16E-06,Longlands,3,3.85E-07,1,3.85E-07,1,3.85E-07,1,3.85E-07,1,7.70E-07,2,3.85E-07,1,3.85E-07,1,3.85E-07,1,3.85E-07,1,3.85E-07,1,3.85E-07,1,2.31E-06,7
E05000079,8.80E-07,North End,5,3.52E-07,2,3.52E-07,2,3.52E-07,2,3.52E-07,2,5.28E-07,3,3.52E-07,2,3.52E-07,2,3.52E-07,2,3.52E-07,2,3.52E-07,2,5.28E-07,3,2.29E-06,14.18181818
E05000080,7.99E-06,Northumberland Heath,14,5.71E-07,1,5.71E-07,1,5.71E-07,1,5.71E-07,1,5.71E-07,1,5.71E-07,1,5.71E-07,1,5.71E-07,1,5.71E-07,1,5.71E-07,1,5.71E-07,1,3.42E-06,7.2
E05000081,3.16E-06,St. Mary's,14,4.97E-06,22,4.52E-07,2,4.52E-07,2,4.52E-07,2,2.03E-06,9,4.52E-07,2,4.52E-07,2,4.52E-07,2,4.52E-07,2,4.52E-07,2,6.77E-07,3,2.94E-06,13.35135135
E05000082,6.91E-07,St. Michael's,1,6.91E-07,1,6.91E-07,1,6.91E-07,1,6.91E-07,1,6.91E-07,1,6.91E-07,1,6.91E-07,1,6.91E-07,1,6.91E-07,1,6.91E-07,1,6.91E-07,1,4.14E-06,7.2
E05000083,7.40E-07,Sidcup,2,3.70E-07,1,3.70E-07,1,3.70E-07,1,3.70E-07,1,3.70E-07,1,3.70E-07,1,3.70E-07,1,3.70E-07,1,3.70E-07,1,3.70E-07,1,3.70E-07,1,2.22E-06,7.2
E05000084,1.24E-06,Thamesmead East,6,2.07E-07,1,2.07E-07,1,2.07E-07,1,2.07E-07,1,2.07E-07,1,2.07E-07,1,2.07E-07,1,2.07E-07,1,2.07E-07,1,2.07E-07,1,2.07E-07,1,1.24E-06,7.2
E05000085,4.86E-07,Alperton,1,1.94E-06,4,4.86E-07,1,4.86E-07,1,4.86E-07,1,1.94E-06,4,4.86E-07,1,4.86E-07,1,4.86E-07,1,4.86E-07,1,4.86E-07,1,4.86E-07,1,2.91E-06,6.545454545
E05000086,2.69E-06,Barnhill,8,1.01E-06,3,6.71E-07,2,6.71E-07,2,6.71E-07,2,2.01E-06,6,6.71E-07,2,6.71E-07,2,6.71E-07,2,6.71E-07,2,6.71E-07,2,6.71E-07,2,4.03E-06,12.8
E05000087,2.89E-06,Brondesbury Park,5,5.78E-07,1,5.78E-07,1,5.78E-07,1,5.78E-07,1,1.16E-06,2,5.78E-07,1,5.78E-07,1,5.78E-07,1,5.78E-07,1,5.78E-07,1,5.78E-07,1,3.47E-06,7
E05000088,8.70E-07,Dollis Hill,2,4.35E-07,1,4.35E-07,1,4.35E-07,1,4.35E-07,1,4.35E-07,1,4.35E-07,1,4.35E-07,1,4.35E-07,1,4.35E-07,1,4.35E-07,1,4.35E-07,1,2.61E-06,7.2
E05000089,5.95E-07,Dudden Hill,1,5.95E-07,1,5.95E-07,1,5.95E-07,1,5.95E-07,1,1.19E-06,2,5.95E-07,1,5.95E-07,1,5.95E-07,1,5.95E-07,1,5.95E-07,1,5.95E-07,1,3.57E-06,7
E05000090,3.76E-07,Fryent,1,3.76E-07,1,3.76E-07,1,3.76E-07,1,3.76E-07,1,3.76E-07,1,3.76E-07,1,3.76E-07,1,3.76E-07,1,3.76E-07,1,3.76E-07,1,3.76E-07,1,2.26E-06,7.2
E05000091,8.98E-07,Harlesden,1,6.29E-06,7,8.98E-07,1,8.98E-07,1,8.98E-07,1,6.29E-06,7,8.98E-07,1,8.98E-07,1,8.98E-07,1,8.98E-07,1,8.98E-07,1,8.98E-07,1,5.39E-06,6.352941176
E05000092,3.57E-06,Kensal Green,4,6.25E-06,7,8.93E-07,1,8.93E-07,1,8.93E-07,1,4.46E-06,5,8.93E-07,1,8.93E-07,1,8.93E-07,1,8.93E-07,1,8.93E-07,1,1.79E-06,2,6.25E-06,7.466666667
E05000093,4.46E-07,Kenton,1,8.92E-07,2,4.46E-07,1,4.46E-07,1,4.46E-07,1,8.92E-07,2,4.46E-07,1,4.46E-07,1,4.46E-07,1,4.46E-07,1,4.46E-07,1,4.46E-07,1,2.67E-06,6.857142857
E05000094,3.18E-05,Kilburn,30,4.24E-06,4,3.18E-06,3,2.12E-06,2,2.12E-06,2,2.12E-06,2,2.12E-06,2,2.12E-06,2,2.12E-06,2,2.12E-06,2,2.12E-06,2,2.12E-06,2,1.27E-05,12.92307692
E05000095,2.15E-06,Mapesbury,3,8.61E-06,12,1.44E-06,2,7.18E-07,1,7.18E-07,1,9.33E-06,13,7.18E-07,1,7.18E-07,1,7.18E-07,1,7.18E-07,1,7.18E-07,1,7.18E-07,1,4.31E-06,6.206896552
